lat,lon,label,source,water_level_cm
15.950132,108.182406,0,pseudo_absence_hard,
15.950307,108.187727,0,pseudo_absence_easy,
15.9508,108.191309,0,pseudo_absence_easy,
15.951375,108.172677,0,pseudo_absence_hard,
15.951381,108.1886,0,pseudo_absence_easy,
15.951681,108.170398,0,pseudo_absence_easy,
15.952277,108.22522,0,pseudo_absence_easy,
15.9525,108.215863,0,pseudo_absence_easy,
15.95275,108.175749,0,pseudo_absence_hard,
15.952944,108.216421,0,pseudo_absence_easy,
15.953063,108.149919,0,pseudo_absence_easy,
15.953159,108.180503,0,pseudo_absence_hard,
15.953328,108.193718,0,pseudo_absence_easy,
15.953391,108.145255,0,pseudo_absence_easy,
15.95362,108.097341,0,pseudo_absence_easy,
15.953632,108.180856,0,pseudo_absence_hard,
15.953997,108.079728,0,pseudo_absence_easy,
15.954455,108.140203,0,pseudo_absence_easy,
15.954532,108.160854,0,pseudo_absence_easy,
15.954752,108.207503,0,pseudo_absence_easy,
15.95513,108.13156,0,pseudo_absence_easy,
15.955318,108.0884,0,pseudo_absence_easy,
15.95551,108.099944,0,pseudo_absence_easy,
15.955619,108.152894,0,pseudo_absence_easy,
15.955692,108.176198,0,pseudo_absence_hard,
15.956127,108.16691,0,pseudo_absence_easy,
15.956597,108.146342,0,pseudo_absence_easy,
15.956784,108.169469,0,pseudo_absence_hard,
15.957775,108.168756,0,pseudo_absence_hard,
15.958116,108.084448,0,pseudo_absence_easy,
15.958371,108.16206,0,pseudo_absence_easy,
15.958552,108.075851,0,pseudo_absence_easy,
15.95883,108.189258,0,pseudo_absence_hard,
15.958938,108.159179,0,pseudo_absence_easy,
15.959317,108.167774,0,pseudo_absence_hard,
15.959562,108.182823,0,pseudo_absence_hard,
15.959574,108.16708,0,pseudo_absence_hard,
15.960125,108.148015,0,pseudo_absence_easy,
15.960152,108.159728,0,pseudo_absence_easy,
15.960556,108.207571,0,pseudo_absence_easy,
15.961168,108.217808,0,pseudo_absence_easy,
15.961347,108.134831,0,pseudo_absence_easy,
15.961427,108.170576,0,pseudo_absence_hard,
15.96145,108.21313,0,pseudo_absence_easy,
15.961599,108.193108,0,pseudo_absence_easy,
15.961637,108.160241,0,pseudo_absence_hard,
15.961689,108.172903,0,pseudo_absence_hard,
15.961872,108.149308,0,pseudo_absence_hard,
15.961887,108.130179,0,pseudo_absence_easy,
15.963021,108.180531,0,pseudo_absence_hard,
15.963096,108.090314,0,pseudo_absence_easy,
15.963191,108.143546,0,pseudo_absence_easy,
15.963364,108.202557,0,pseudo_absence_easy,
15.963387,108.148606,0,pseudo_absence_hard,
15.963439,108.179255,0,pseudo_absence_hard,
15.963571,108.166496,0,pseudo_absence_easy,
15.963762,108.154664,0,pseudo_absence_hard,
15.964028,108.177234,0,pseudo_absence_hard,
15.964394,108.168372,0,pseudo_absence_hard,
15.964493,108.154644,0,pseudo_absence_hard,
15.964581,108.180429,0,pseudo_absence_hard,
15.964619,108.208635,0,pseudo_absence_easy,
15.964863,108.227395,0,pseudo_absence_easy,
15.964865,108.194504,0,pseudo_absence_easy,
15.96489,108.162596,0,pseudo_absence_hard,
15.965117,108.1894,0,pseudo_absence_hard,
15.965229,108.158343,0,pseudo_absence_hard,
15.96537,108.147013,0,pseudo_absence_hard,
15.96542,108.18925,0,pseudo_absence_hard,
15.965661,108.191448,0,pseudo_absence_hard,
15.966143,108.216213,0,pseudo_absence_easy,
15.966343,108.187099,0,pseudo_absence_hard,
15.967272,108.197077,0,pseudo_absence_hard,
15.967603,108.171746,0,pseudo_absence_hard,
15.967979,108.088491,0,pseudo_absence_easy,
15.968044,108.201575,0,pseudo_absence_hard,
15.968555,108.165192,0,pseudo_absence_hard,
15.968852,108.130386,0,pseudo_absence_easy,
15.968856,108.211768,0,pseudo_absence_easy,
15.96894,108.161563,0,pseudo_absence_hard,
15.969376,108.169487,0,pseudo_absence_easy,
15.969396,108.144577,0,pseudo_absence_hard,
15.969689,108.174148,0,pseudo_absence_hard,
15.969787,108.161518,0,pseudo_absence_hard,
15.96985,108.19758,0,pseudo_absence_hard,
15.97011,108.166254,0,pseudo_absence_hard,
15.97026,108.167332,0,pseudo_absence_easy,
15.970441,108.130984,0,pseudo_absence_easy,
15.970523,108.201549,0,pseudo_absence_hard,
15.970774,108.204447,0,pseudo_absence_hard,
15.970819,108.092218,0,pseudo_absence_easy,
15.971159,108.196911,0,pseudo_absence_hard,
15.971327,108.094073,0,pseudo_absence_easy,
15.971347,108.160306,0,pseudo_absence_hard,
15.97153,108.114403,0,pseudo_absence_easy,
15.972047,108.176441,0,pseudo_absence_hard,
15.972053,108.268644,0,pseudo_absence_easy,
15.972103,108.272445,0,pseudo_absence_easy,
15.972574,108.128092,0,pseudo_absence_easy,
15.972588,108.188385,0,pseudo_absence_hard,
15.972722,108.079461,0,pseudo_absence_easy,
15.972877,108.083026,0,pseudo_absence_easy,
15.972898,108.149638,0,pseudo_absence_hard,
